Accounts,12/31/23,12/31/24,Diff,검증,영업활동으로 인한 현금흐름,,,,,,투자활동으로 인한 현금흐름,,,,재무활동으로 인한 현금흐름,,,,현금유출입없는 거래,,,
,Audited,Audited,,,내역,지출없는 비용,내역,유입없는 수익,내역,자산부채증감,내역,현금유입,내역,현금유출,내역,현금유입,내역,현금유출,내역,차변,내역,대변
자산,,,,,,,,,,,,,,,,,,,,,,
Ⅰ.유동자산,"19,872,671,163","18,257,310,624",,,,,,,,,,,,,,,,,,,,
(1)당좌자산,"19,777,198,791","18,135,696,564",,,,,,,,,,,,,,,,,,,,
현금,"2,013,000","2,012,000","-1,000",,,,,,,,,,,,,,,,,,,
보통예금,"2,650,281,940","2,959,206,572","308,924,632",,,,,,,,,,,,,,,,,,,
정기예.적금,"15,300,000,000","13,300,000,000","-2,000,000,000",-,,,,,,,단기금융상품의감소,"2,000,000,000",,,,,,,,,,
기타단기금융상품,"1,149,736,661","1,183,673,386","33,936,725",-,투자자산평가손실,"443,415",투자자산평가이익,-,,,,,단기금융상품의증가,"34,380,140",,,,,,,,
외상매출금,"158,000",-,"-158,000",-,,,,,매출채권의 (증가)감소,"158,000",,,,,,,,,,,,
미수수익,"218,319,453","166,139,179","-52,180,274",-,,,,,미수수익의 (증가)감소,"52,180,274",,,,,,,,,,,,
미수금,"5,857,310","10,350,000","4,492,690",-,,,,,미수금의 (증가)감소,"-4,492,690",,,,,,,,,,,,
카드매출금,"73,869,753","59,503,444","-14,366,309",-,,,,,매출채권의 (증가)감소,"14,366,309",,,,,,,,,,,,
선급금,"30,424,400","93,450,000","63,025,600",-,,,,,선급금의 (증가)감소,"-63,025,600",,,,,,,,,,,,
선급비용,"346,538,274","361,361,983","14,823,709",-,,,,,선급비용의 (증가)감소,"-14,823,709",,,,,,,,,,,,
선납세금,-,-,-,-,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
(2)재고자산,"95,472,372","121,614,060",,,,,,,,,,,,,,,,,,,,
재료비,"95,472,372","121,614,060","26,141,688",-,,,,,재고자산의 (증가)감소,"-26,141,688",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ⅱ.비유동자산,"66,551,358,039","66,337,307,791",,,,,,,,,,,,,,,,,,,,
(1)투자자산,"4,018,934","8,037,868",,,,,,,,,,,,,,,,,,,,
장기성예금,"4,018,934","8,037,868","4,018,934",-,,,,,,,장기금융상품의감소,,장기금융상품의증가,"4,018,934",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
(2)유형자산,"65,640,189,578","65,417,241,315",,,,,,,,,,,,,,,,,,,,
토지,"18,911,108,835","18,911,108,835",-,-,,,,,,,,,토지의취득,,,,,,,,,
건물,"13,024,878,816","13,024,878,816",-,-,,,,,,,,,건물의취득,,,,,,,,,
감가상각누계액,"-4,975,014,263","-5,300,636,226","-325,621,963",-,감가상각비,"325,621,963",,,,,,,,,,,,,,,,
구축물,"24,583,559,756","25,017,117,883","433,558,127",-,,,,,,,,,구축물의취득,"342,508,127",,,,,건설중인자산 대체,"91,050,000",,
감가상각누계액,"-17,895,189,811","-18,581,363,720","-686,173,909",-,감가상각비,"686,173,909",,,,,,,,,,,,,,,,
기계장치,"2,985,872,038","3,053,790,486","67,918,448",-,유형자산처분손실,"172,583",,,,,기계장치의처분,"134,264,969",기계장치의취득,"171,696,000",,,,,오류수정,"30,660,000",,
감가상각누계액,"-1,985,622,343","-2,069,354,530","-83,732,187",-,감가상각비,"187,383,156",,,,,기계장치의처분,"-134,309,969",,,,,,,오류수정,"-30,659,000",,
차량운반구,"2,034,657,015","1,796,655,658","-238,001,357",-,,,유형자산처분이익,,,,차량운반구의처분,"202,851,357",차량운반구의취득,"2,450,000",,,,,오류수정,"-37,600,000",,
감가상각누계액,"-2,011,397,951","-1,780,280,005","231,117,946",-,감가상각비,"9,325,411",,,,,차량운반구의처분,"-202,844,357",,,,,,,오류수정,"37,599,000",,
공구와기구,"56,405,000","56,405,000",-,-,,,,,,,,,공구와기구의 취득,,,,,,,,,
감가상각누계액,"-45,905,832","-49,178,500","-3,272,668",-,감가상각비,"3,272,668",,,,,,,,,,,,,,,,
비품,"2,422,564,222","2,383,390,804","-39,173,418",-,유형자산처분손실,,유형자산처분이익,,,,비품의처분,"147,794,454",비품의취득,"108,621,036",,,,,건설중인자산 대체,,,
감가상각누계액,"-2,053,153,632","-2,084,170,914","-31,017,282",-,감가상각비,"178,773,736",,,,,비품의처분,"-147,756,454",,,,,,,,,,
건설중인자산,"91,050,000","542,500,000","451,450,000",-,,,,,,,,,건설중인자산의취득,"542,500,000",,,,,,,건설중인자산 대체,"91,050,000"
코스,"27,564,039,734","27,564,039,734",-,-,,,,,,,,,,,,,,,,,,
입목,"2,932,337,994","2,932,337,994",-,-,,,,,,,,,,,,,,,,,,
,,,,TRUE,,,,,,,,,,,,,,,,,,
(3)무형자산,"616,939,389","610,659,722",,,,,,,,,,,,,,,,,,,,
기타의무형자산,"13,670,169","7,390,502","-6,279,667",-,무형자산상각비,"6,279,667",,,,,,,무형자산의취득,,,,,,,,,
회원권,"603,269,220","603,269,220",-,-,무형자산처분손실,,,,,,회원권의처분,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
(4)기타비유동자산,"290,210,138","301,368,886",,,,,,,,,,,,,,,,,,,,
이연법인세자산,"288,728,138","299,886,886","11,158,748",0,,,,,비유동이연법인세자산의 (증가)감소,"-11,158,748",,,,,,,,,,,,
장기미수금,"1,411,414,130","1,411,414,130",-,-,,,,,,,,,,,,,,,,,,
대손충당금,"-1,411,414,130","-1,411,414,130",-,-,대손상각비,0,,,,,,,,,,,,,,,,
보증금,"1,482,000","1,482,000",-,-,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
자산총계,"86,424,029,202","84,594,618,415",,,,,,,,,,,,,,,,,,,,
,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
부채,,,,,,,,,,,,,,,,,,,,,,
Ⅰ.유동부채,"2,226,433,563","2,529,888,253",,,,,,,,,,,,,,,,,,,,
미지급금,"229,305,858","724,602,137","495,296,279",-,,,,,미지급금의 증가(감소),"495,296,279",,,,,,,,,,,,
예수금,"25,742,700","28,328,910","2,586,210",-,,,,,예수금의 증가(감소),"2,586,210",,,,,,,,,,,,
부가세예수금,"439,021,460","389,185,820","-49,835,640",-,,,,,부가세예수금의 증가(감소),"-49,835,640",,,,,,,,,,,유무형자산취득관련 미지급금,
미지급세금,"1,395,433,414","1,250,538,146","-144,895,268",-,,,,,당기법인세부채의 증가(감소),"-144,895,268",,,,,,,,,,,,
연차수당부채,"136,930,131","137,233,240","303,109",-,,,,,미지급비용의 증가(감소),"303,109",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ⅱ.비유동부채,"46,600,000","46,600,000",,,,,,,,,,,,,,,,,,,,
임대보증금,"20,000,000","20,000,000",-,-,,,,,,,,,,,임대보증금의 증가,,,,,,,
기타보증금,"26,600,000","26,600,000",-,-,,,,,기타보증금의증가(감소),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
부채총계,"2,273,033,563","2,576,488,253",,,,,,,,,,,,,,,,,,,,
,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ⅰ.자본금,"51,149,470,000","51,149,470,000",,,,,,,,,,,,,,,,,,,,
자본금,"51,149,470,000","51,149,470,000",-,-,,,,,,,,,,,,,,,,,,
Ⅱ.자본잉여금,-,-,,,,,,,,,,,,,,,,,,,,
Ⅲ.자본조정,-,-,,,,,,,,,,,,,,,,,,,,
Ⅳ.기타포괄손익누계액,-,-,,,,,,,,,,,,,,,,,,,,
Ⅴ.이익잉여금,"33,001,525,639","30,868,660,162",,,,,,,,,,,,,,,,,,,,
이월이익잉여금,"25,401,525,639","22,068,660,162","-3,332,865,477",0,,,,,당기순이익,"9,867,134,523",,,,,,,배당금의 지급,"12,000,000,000",이익준비금전입,"1,200,000,000",,
법정적립금,"7,600,000,000","8,800,000,000","1,200,000,000",-,,,,,,,,,,,,,,,,,이익준비금전입,"1,200,000,000"
,,,,,,,,,,,,,,,,,,,,,,
자본총계,"84,150,995,639","82,018,130,162",,,,,,,,,,,,,,,,,,,,
부채및자본총계,"86,424,029,202","84,594,618,415",,,,,,,,,,,,,,,,,,,,
,,,,,,"1,397,446,508",,0,,"250,516,838",,"2,000,000,000",,"1,206,174,237",,0,,"12,000,000,000",,"1,291,050,000",,"1,291,050,000"
차대변 검증,TRUE,TRUE,,,,,,,영업활동현금흐름,"11,515,097,869",,,,"793,825,763",,,,"-12,000,000,000",,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,